N,depth,density,distance
1062,7,0.01,10
1063,7,0.01,78
1064,7,0.01,51
1065,7,0.01,14
1066,7,0.01,86
1067,7,0.01,1
1068,7,0.01,25
1069,7,0.01,32
1070,7,0.01,81
1071,7,0.01,48
1072,7,0.01,8
1073,7,0.01,63
1074,7,0.01,36
1075,7,0.01,36
1076,7,0.01,48
1077,7,0.01,63
1078,7,0.01,39
1079,7,0.01,56
1080,7,0.01,64
1081,7,0.01,52
1082,7,0.01,31
1083,7,0.01,27
1084,7,0.01,7
1085,7,0.01,7
1086,7,0.01,60
1087,7,0.01,16
1088,7,0.01,34
1089,7,0.01,54
1090,7,0.01,60
1091,7,0.01,27
1092,7,0.01,20
1093,7,0.01,61
1094,7,0.01,63
1095,7,0.01,38
1096,7,0.01,85
1097,7,0.01,34
1098,7,0.01,84
1099,7,0.01,62
1100,7,0.01,23
1101,7,0.01,28
1102,7,0.01,46
1103,7,0.01,31
1104,7,0.01,50
1105,7,0.01,27
1106,7,0.01,20
1107,7,0.01,29
1108,7,0.01,53
1109,7,0.01,39
1110,7,0.01,55
1111,7,0.01,55
1112,7,0.01,37
1113,7,0.01,35
1114,7,0.01,43
1115,7,0.01,67
1116,7,0.01,76
1117,7,0.01,37
1118,7,0.01,6
1119,7,0.01,35
1120,7,0.01,77
1121,7,0.01,38
1122,7,0.01,20
1123,7,0.01,61
1124,7,0.01,44
1125,7,0.01,46
1126,7,0.01,36
1127,7,0.01,43
1128,7,0.01,20
1129,7,0.01,70
1130,7,0.01,57
1131,7,0.01,46
1132,7,0.01,22
1133,7,0.01,2
1134,7,0.01,35
1135,7,0.01,49
1136,7,0.01,7
1137,7,0.01,64
1138,7,0.01,36
1139,7,0.01,41
1140,7,0.01,44
1141,7,0.01,34
1142,7,0.01,8
1143,7,0.01,58
1144,7,0.01,41
1145,7,0.01,68
1146,7,0.01,59
1147,7,0.01,52
1148,7,0.01,58
1149,7,0.01,10
1150,7,0.01,43
1151,7,0.01,73
1152,7,0.01,33
1153,7,0.01,35
1154,7,0.01,105
1155,7,0.01,63
1156,7,0.01,39
1157,7,0.01,12
1158,7,0.01,12
1159,7,0.01,27
1160,7,0.01,22
1161,7,0.01,29
1162,7,0.01,24
1163,7,0.01,60
1164,7,0.01,20
1165,7,0.01,38
1166,7,0.01,42
1167,7,0.01,49
1168,7,0.01,29
1169,7,0.01,30
1170,7,0.01,23
1171,7,0.01,11
1172,7,0.01,30
1173,7,0.01,29
1174,7,0.01,42
1175,7,0.01,10
1176,7,0.01,24
1177,7,0.01,14
1178,7,0.01,58
1179,7,0.01,26
1180,7,0.01,43
1181,7,0.01,53
1182,7,0.01,42
1183,7,0.01,14
1184,7,0.01,76
1185,7,0.01,61
1186,7,0.01,63
1187,7,0.01,28
1188,7,0.01,58
